Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. slagen,[],Gemiddeld tempo,Beste tempo,Stijging,Hoogteverlies,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. GCT balans,Gem. slagen,[],Normalized Power® (NP®),L/R-balans,Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Vermogen,Max. vermogen,Totaal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Max diepte,Bodemtijd,Minimale watertemperatuur,Gastype,Oppervlakte-interval,Decompressie,Gewicht,Stroming,Oppervlakteomstandigheden,Watertype
paddling,2018-05-20 16:49:38,false,"Hamoir Kanoen","2.23","117","21:25","77","110","1.1","116","122","6.2","126.1","21","104","0.90","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
hiking,2018-05-19 11:52:22,false,"Aywaille wandelen","6.08","402","1:17:33","86","123","1.1","114","250","12:45","1:02","238","240","0.68","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-05-15 17:34:18,false,"'s-Hertogenbosch Fietsen","16.60","427","41:26","111","127","1.7","--","--","24.0","34.1","3","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-05-15 07:23:03,false,"Zaltbommel Fietsen","16.72","387","43:31","106","119","1.6","--","--","23.1","34.8","9","5","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-05-13 11:30:22,false,"1/2 marathon Tilburg","20.98","1,419","1:32:47","158","187","5.0","176","187","4:25","3:44","22","22","1.28","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-05-09 19:08:01,false,"Zaltbommel Hardlopen","6.92","435","33:42","137","151","3.0","174","181","4:52","4:23","6","6","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-05-08 17:34:11,false,"'s-Hertogenbosch Fietsen","16.59","421","38:51","111","136","1.8","--","--","25.6","38.3","8","12","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-05-08 07:11:59,false,"Zaltbommel Fietsen","16.11","488","38:33","121","138","1.8","--","--","25.1","38.9","15","12","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-05-03 12:32:51,false,"Zaltbommel Hardlopen","21.15","1,342","1:36:18","150","161","4.3","181","189","4:33","4:18","25","24","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-04-27 08:36:00,false,"Algorfa Hardlopen","15.95","734","1:21:05","127","142","2.4","173","237","5:05","3:36","73","73","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
